iter	Passed	Remaining
909	11468	1134
910	11479	1121
911	11490	1108
912	11504	1096
913	11518	1083
914	11530	1071
915	11546	1058
916	11562	1046
917	11575	1033
918	11587	1021
919	11598	1008
920	11609	995
921	11621	983
922	11633	970
923	11643	957
924	11655	945
925	11667	932
926	11677	919
927	11689	906
928	11700	894
929	11711	881
930	11723	868
931	11734	856
932	11746	843
933	11757	830
934	11768	818
935	11780	805
936	11792	792
937	11804	780
938	11816	767
939	11827	754
940	11838	742
941	11851	729
942	11862	717
943	11873	704
944	11885	691
945	11896	679
946	11907	666
947	11919	653
948	11930	641
949	11941	628
950	11952	615
951	11964	603
952	11975	590
953	11986	577
954	11998	565
955	12010	552
956	12020	540
957	12031	527
958	12043	514
959	12054	502
960	12066	489
961	12077	477
962	12088	464
963	12099	451
964	12111	439
965	12122	426
966	12133	414
967	12145	401
968	12155	388
969	12168	376
970	12179	363
971	12191	351
972	12201	338
973	12213	326
974	12224	313
975	12235	300
976	12247	288
977	12259	275
978	12270	263
979	12283	250
980	12294	238
981	12307	225
982	12318	213
983	12330	200
984	12343	187
985	12360	175
986	12377	163
987	12393	150
988	12410	138
989	12425	125
990	12437	112
991	12447	100
992	12459	87
993	12471	75
994	12485	62
995	12499	50
996	12521	37
997	12540	25
998	12554	12
999	12566	0
